104 148
0 103
1 2 1
2 3 1
3 1 1
4 5 1
5 6 1
6 4 1
7 8 1
8 9 1
9 7 1
10 11 1
11 12 1
12 10 1
13 14 1
14 15 1
15 13 1
16 17 1
17 18 1
18 16 1
19 20 1
20 21 1
21 19 1
22 23 1
23 24 1
24 22 1
25 26 1
26 27 1
27 25 1
28 29 1
29 30 1
30 28 1
31 32 1
32 33 1
33 31 1
34 35 1
35 36 1
36 34 1
37 38 1
38 39 1
39 37 1
40 41 1
41 42 1
42 40 1
43 44 1
44 45 1
45 43 1
46 47 1
47 48 1
48 46 1
49 50 1
50 51 1
51 49 1
52 53 1
53 54 1
54 52 1
55 56 1
56 57 1
57 55 1
58 59 1
59 60 1
60 58 1
61 62 1
62 63 1
63 61 1
64 65 1
65 66 1
66 64 1
67 68 1
68 69 1
69 67 1
70 71 1
71 72 1
72 70 1
73 74 1
74 75 1
75 73 1
76 77 1
77 78 1
78 76 1
79 80 1
80 81 1
81 79 1
82 83 1
83 84 1
84 82 1
0 1 1
0 2 1
1 4 1
4 7 1
7 10 1
10 13 1
13 16 1
16 19 1
19 103 1
20 103 1
0 22 1
0 23 1
22 25 1
25 28 1
28 31 1
31 34 1
34 37 1
37 40 1
40 103 1
41 103 1
0 43 1
0 44 1
43 46 1
46 49 1
49 52 1
52 55 1
55 58 1
58 61 1
61 103 1
62 103 1
0 64 1
0 65 1
64 67 1
67 70 1
70 73 1
73 76 1
76 79 1
79 82 1
82 103 1
83 103 1
85 86 1
86 87 1
87 85 1
0 85 1
88 89 1
89 90 1
90 88 1
0 88 1
91 92 1
92 93 1
93 91 1
0 91 1
94 95 1
95 96 1
96 94 1
94 103 1
97 98 1
98 99 1
99 97 1
97 103 1
100 101 1
101 102 1
102 100 1
100 103 1
