62 92
9 51
0 6 1
1 0 1
1 17 1
2 1 1
3 13 1
3 4 1
4 14 1
4 22 1
5 15 1
6 5 1
6 16 1
7 18 1
8 7 1
9 2 1
9 3 1
9 11 1
9 13 1
10 8 1
10 19 1
11 10 1
11 12 1
12 13 1
12 20 1
13 14 1
13 26 1
14 21 1
15 55 1
16 15 1
16 23 1
17 16 1
18 17 1
18 19 1
19 28 1
20 19 1
20 25 1
21 22 1
21 31 1
22 36 1
23 32 1
23 45 1
24 23 1
25 28 1
25 29 1
26 25 1
27 24 1
28 33 1
29 30 1
29 39 1
30 31 1
30 39 1
31 35 1
32 37 1
33 32 1
34 30 1
34 40 1
35 34 1
35 44 1
36 35 1
36 61 1
37 38 1
37 46 1
38 41 1
39 38 1
39 42 1
39 43 1
40 39 1
41 42 1
41 46 1
42 51 1
43 48 1
44 43 1
44 54 1
45 46 1
46 50 1
46 51 1
47 51 1
47 58 1
48 47 1
49 56 1
50 49 1
50 57 1
52 59 1
53 48 1
53 52 1
54 53 1
55 56 1
56 57 1
57 51 1
57 58 1
58 51 1
59 58 1
60 53 1
61 60 1
